"AI_usage_freq","hours_online","AI_help_decisions","confident_in_AI_decisions","rely_on_AI","AI_clarity","second_guessing_self","AI_differs","AI_thinking_right_track","pause_to_check","AI_important_decisions","change_own_decisions","AI_influence_decisions_think","AI_persuasive","judgement_separation","rely_awareness","independent_without_AI","AI_influence_decisions","reflect_decision_style","conflicted_ab_influence","AI_effect_strength","AI_best_interest","clear_life_priorities","digital_effect_mind","AI_growing_role","age","gender","country","education","work_status","emotional_wellbeing","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values"
"Sometimes","More than 12 hours",2,1,1,1,1,2,1,1,1,4,1,2,1,7,7,2,3,1,1,3,6,1,1,"35 - 44","Woman","Canada","Bachelor’s degree","Employed full time",6,"0","1","1","0","0","0","0","1","0","0"
"Sometimes","2–4 hours",3,3,3,4,1,1,1,1,1,1,1,1,1,1,6,4,4,2,4,4,4,4,4,"45 - 54","Woman","UK","Postgraduate degree","Employed part-time",6,"0","0","0","0","0","0","0","1","1","0"
"Very often","More than 12 hours",2,6,4,3,1,3,1,1,2,1,1,4,1,1,6,3,1,1,4,7,4,1,6,"18 - 24","Man","UK","Bachelor’s degree","Employed full time",3,"0","0","1","0","0","0","0","1","0","0"
"Very often","7–8 hours",5,5,3,6,1,7,6,4,5,3,2,6,4,7,7,3,5,1,5,6,5,6,4,"35 - 44","Man","UK","Postgraduate degree","Employed full time",5,"0","0","1","0","1","0","0","1","0","0"
"Everyday","5–6 hours",5,5,6,6,1,3,5,3,5,3,3,5,3,1,1,5,1,1,6,5,5,2,6,"45 - 54","Woman","UK","Some university/college","Self-employed / freelance",5,"0","0","1","0","1","0","1","0","0","0"
"Sometimes","5–6 hours",2,2,2,2,2,3,2,2,4,3,2,2,2,4,6,3,2,4,3,4,6,6,2,"35 - 44","Woman","US","Bachelor’s degree","Employed full time",6,"0","1","1","0","0","0","0","1","0","0"
"Very often","9–10 hours",5,6,5,7,2,5,6,5,5,6,4,5,4,4,3,6,4,4,6,6,6,4,5,"35 - 44","Man","UK","Some university/college","Self-employed / freelance",6,"0","1","1","0","0","0","0","1","0","0"
"Never","7–8 hours",1,1,1,1,2,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,4,6,1,"55 - 65","Woman","UK","Bachelor’s degree","Self-employed / freelance",4,"0","0","0","0","0","0","0","1","1","0"
"Everyday","7–8 hours",6,7,7,7,4,6,7,7,7,7,5,7,2,1,4,7,4,1,6,6,7,6,7,"45 - 54","Man","US","Some university/college","Self-employed / freelance",7,"0","0","1","0","0","0","1","1","0","0"
"Sometimes","5–6 hours",4,5,5,6,3,4,5,5,4,5,5,4,5,7,7,5,4,5,5,6,6,4,4,"25 - 34","Man","US","Bachelor’s degree","Employed full time",6,"0","0","1","0","0","0","0","1","0","0"
"Often","9–10 hours",2,2,3,3,1,3,1,1,2,1,5,4,1,6,7,2,4,2,4,4,7,2,4,"Over 65","Woman","US","Postgraduate degree","Employed full time",6,"1","1","0","0","1","0","0","0","0","0"
"Everyday","9–10 hours",6,6,4,6,2,5,6,4,6,2,4,3,3,5,4,4,5,3,5,4,6,5,5,"55 - 65","Woman","Canada","Bachelor’s degree","Employed full time",6,"0","0","1","0","1","0","0","1","0","0"
"Everyday","9–10 hours",7,5,6,6,4,5,5,5,5,4,5,3,5,7,5,4,5,3,5,3,5,6,3,"25 - 34","Woman","Canada","Postgraduate degree","Employed full time",6,"0","0","1","0","1","0","0","1","0","0"
